label,rollout_step,target_frame_idx,mse,psnr
post-trained,1,1,1.0875593807522942e-05,49.63547021243204
post-trained,2,2,1.0301126519151916e-05,49.8711527876094
post-trained,3,3,9.839096369161268e-06,50.07044785705598
post-trained,4,4,1.1413940316515264e-05,49.4256440270662
post-trained,5,5,8.868940529369173e-06,50.521282572517435
post-trained,6,6,8.439589559311049e-06,50.736786738080816
post-trained,7,7,9.371335206388616e-06,50.28198527420082
post-trained,8,8,9.722224009404197e-06,50.12234376583082
post-trained,9,9,1.0968183145456394e-05,49.598653063588586
post-trained,10,10,1.1118434232998237e-05,49.53956368495666
post-trained,11,11,1.2456840685570861e-05,49.04592089843912
post-trained,12,12,1.575720925179739e-05,48.02520697624843
post-trained,13,13,1.5020388610047188e-05,48.23318831045842
post-trained,14,14,1.7409657078174957e-05,47.592097831918636
post-trained,15,15,1.9854005744352724e-05,47.0215185680221
post-trained,16,16,3.069615060532534e-05,45.129160830141544
post-trained,17,17,3.166332381945709e-05,44.99443497538075
post-trained,18,18,3.6137959218034215e-05,44.42036376550173
post-trained,19,19,3.732684352072639e-05,44.27978733874674
post-trained,20,20,2.514223306976929e-05,45.995961519957575
post-trained,21,21,2.5557416039980098e-05,45.924830572548615
post-trained,22,22,2.0839669196130826e-05,46.811091792033785
post-trained,23,23,1.7010686019448196e-05,47.692781714871906
post-trained,24,24,1.8401376238530635e-05,47.35149694900879
post-trained,25,25,3.089960129510608e-05,45.100471243438534
post-trained,26,26,2.8833938031848055e-05,45.400960392383965
post-trained,27,27,2.6359553332704535e-05,45.7906195321252
post-trained,28,28,4.127317650957443e-05,43.843321052080775
post-trained,29,29,4.405558858283613e-05,43.55998992206779
post-trained,30,30,5.999567143433218e-05,42.21880081949639
post-trained,31,31,4.784681694194933e-05,43.201469488072675
Base Tokenizer,1,1,6.232247617481472e-06,52.05355299756312
Base Tokenizer,2,2,7.791057664081623e-06,51.08403581288337
Base Tokenizer,3,3,1.533336948690681e-05,48.14362399041635
Base Tokenizer,4,4,3.0422598709234755e-05,45.168036911089104
Base Tokenizer,5,5,5.372887222449705e-05,42.69792275229149
Base Tokenizer,6,6,5.670849906839571e-05,42.4635184724653
Base Tokenizer,7,7,5.952155221752028e-05,42.25325751677336
Base Tokenizer,8,8,6.243416748079313e-05,42.04577674943696
Base Tokenizer,9,9,6.689857733763264e-05,41.74583117822391
Base Tokenizer,10,10,6.450656083435699e-05,41.90396111887942
Base Tokenizer,11,11,6.463399927046655e-05,41.89538970994248
Base Tokenizer,12,12,6.129937309797119e-05,42.125439669413566
Base Tokenizer,13,13,6.706517778241265e-05,41.73502919807839
Base Tokenizer,14,14,6.544701783204746e-05,41.841101377853825
Base Tokenizer,15,15,6.350455066514393e-05,41.97195152535606
Base Tokenizer,16,16,6.86178213366936e-05,41.63563075211246
Base Tokenizer,17,17,7.673141068567044e-05,41.15026817342462
Base Tokenizer,18,18,6.0763179084521214e-05,42.163595122492296
Base Tokenizer,19,19,0.00010626357068460455,39.736155949521034
Base Tokenizer,20,20,0.00010903819533837896,39.624213450041744
Base Tokenizer,21,21,0.00010233371323558839,39.89981266970683
Base Tokenizer,22,22,0.00011846012184544216,39.26427824989217
Base Tokenizer,23,23,0.00011795591379960018,39.28280280584661
Base Tokenizer,24,24,0.00012711781053856657,38.95793595970655
Base Tokenizer,25,25,0.00011475949786823083,39.40211360683391
Base Tokenizer,26,26,0.00011113994752739022,39.54129812594461
Base Tokenizer,27,27,0.00013343038675195777,38.74745255157862
Base Tokenizer,28,28,9.687089742086012e-05,40.13806676900708
Base Tokenizer,29,29,9.593234248938023e-05,40.18034950737042
Base Tokenizer,30,30,0.00011177889535306353,39.516401865830545
Base Tokenizer,31,31,0.0001133528600699597,39.45567517470141
Latest Post-trained (batch234003),1,1,1.2411196200136245e-05,49.06186358865285
Latest Post-trained (batch234003),2,2,1.2328963162193042e-05,49.09073445048386
Latest Post-trained (batch234003),3,3,1.3304671036109091e-05,48.75995859103482
Latest Post-trained (batch234003),4,4,1.2279155091132662e-05,49.10831515269994
Latest Post-trained (batch234003),5,5,1.2459932423097477e-05,49.04484313082584
Latest Post-trained (batch234003),6,6,9.022232582222442e-06,50.446859815085546
Latest Post-trained (batch234003),7,7,1.093146634250823e-05,49.613215780552096
Latest Post-trained (batch234003),8,8,1.2070025128712955e-05,49.18291825739435
Latest Post-trained (batch234003),9,9,1.0901457983479523e-05,49.625154147350074
Latest Post-trained (batch234003),10,10,8.27605155024196e-06,50.821768128448845
Latest Post-trained (batch234003),11,11,7.169239609470578e-06,51.44526904433059
Latest Post-trained (batch234003),12,12,6.444916236112267e-06,51.907827227528784
Latest Post-trained (batch234003),13,13,1.0322450849531008e-05,49.86217176346531
Latest Post-trained (batch234003),14,14,1.0195650893825972e-05,49.91585043493144
Latest Post-trained (batch234003),15,15,2.089997884435178e-05,46.798541534959284
Latest Post-trained (batch234003),16,16,3.3313223531783664e-05,44.77383341060534
Latest Post-trained (batch234003),17,17,4.82243483988899e-05,43.16733631774868
Latest Post-trained (batch234003),18,18,4.9607825443677983e-05,43.044498098214994
Latest Post-trained (batch234003),19,19,6.551834777876093e-05,41.83637063012205
Latest Post-trained (batch234003),20,20,5.791776054007306e-05,42.3718823900517
Latest Post-trained (batch234003),21,21,7.995861200214514e-05,40.97134753386352
Latest Post-trained (batch234003),22,22,6.405225809232719e-05,41.93465555072288
Latest Post-trained (batch234003),23,23,7.64495867022221e-05,41.16624858105546
Latest Post-trained (batch234003),24,24,8.642673668418521e-05,40.6335188485723
Latest Post-trained (batch234003),25,25,0.0001057774153730226,39.75607048991715
Latest Post-trained (batch234003),26,26,0.00012022004521206213,39.20023113038959
Latest Post-trained (batch234003),27,27,0.0001289891029791857,38.894469774209455
Latest Post-trained (batch234003),28,28,0.00014916512811062287,38.26332694552732
Latest Post-trained (batch234003),29,29,0.00014942114678572635,38.255879347666465
Latest Post-trained (batch234003),30,30,0.0001730791272670143,37.61755303351263
Latest Post-trained (batch234003),31,31,0.00016822632703471165,37.74106037127996
